epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.85,0.9633,4.48741,1.5209,0.375,0.375,0.39,0.351,0.55271,3.55855,0.81647,0.000135139,0.000135139,0.000135139
2,34.7161,0.76022,4.01355,1.42789,0.41667,1,0.995,0.95069,0.35908,2.68224,0.6953,0.000246999,0.000246999,0.000246999
3,40.398,0.74271,3.67805,1.36833,0.91455,0.5,0.995,0.94958,0.44412,1.49036,0.75502,0.000331337,0.000331337,0.000331337
4,45.908,0.7884,3.35121,1.38532,0.91951,1,0.995,0.94275,0.50463,1.60854,0.80832,0.000293151,0.000293151,0.000293151
5,51.447,0.73331,2.92667,1.31582,0.92236,1,0.995,0.90881,0.54715,1.29361,0.88173,0.000251868,0.000251868,0.000251868
6,57.0303,0.71763,2.76554,1.29194,0.96922,1,0.995,0.96503,0.41946,1.04334,0.74541,0.000210585,0.000210585,0.000210585
7,62.6314,0.61483,2.51077,1.21045,0.95118,1,0.995,0.96711,0.39725,0.81418,0.71896,0.000169302,0.000169302,0.000169302
8,68.2939,0.62476,2.37571,1.22224,0.93396,1,0.995,0.9663,0.37443,0.7894,0.69309,0.000128019,0.000128019,0.000128019
9,73.9419,0.58381,2.24629,1.20599,0.95276,1,0.995,0.95103,0.43495,0.72699,0.76237,8.6736e-05,8.6736e-05,8.6736e-05
10,79.5492,0.54985,2.1342,1.1811,0.9461,1,0.995,0.94525,0.41281,0.67429,0.73851,4.5453e-05,4.5453e-05,4.5453e-05
